ANX_i_c,STR_c,FREAZING_c,olderi,female,Juvenaile,PSS,inactive,HFD,FD,EBR,PBR
-0.104334532,0.053263533202608404,-0.020236801,0,1,0,1,1,0,0,0,1
0.015665467625899265,0.11847167662406083,-0.105373374,0,1,0,1,1,0,0,0,1
-0.054334532,0.021479881,0.2716600218288562,0,1,0,1,1,0,0,0,1
-0.004334532,-0.037286452,0.12571161047895563,0,1,0,1,1,0,0,0,1
0.12566546762589936,-0.219541085,0.3203094922788231,0,1,0,1,1,0,0,0,1
-0.184334532,-0.039535008,-0.214834683,0,1,0,1,1,0,0,0,0
-0.054334532,0.03023102,-0.166185212,0,1,0,1,1,0,0,0,0
-0.064334532,-0.103831575,0.064899772,0,1,0,1,1,0,0,0,0
-0.004334532,-0.219541085,0.19868581615390585,0,1,0,1,1,0,0,0,1
-0.144334532,0.12388036699173016,-0.008074433,0,1,0,1,1,0,0,0,0
-0.254334532,-0.104743152,-0.117535742,0,1,0,1,1,0,0,0,0
-0.214334532,-0.073445674,-0.22699705,0,1,0,1,1,0,0,0,0
-0.024334532,0.12078100509564993,0.19868581615390585,0,1,0,1,1,0,0,0,1
0.025665467625899274,-0.045186786,0.16219871331643076,0,1,0,1,1,0,0,0,1
0.055665468,-0.075511915,-0.17834758,0,1,0,1,1,0,0,0,1
0.025665467625899274,-0.03722568,-0.093211007,0,1,0,1,1,0,0,0,1
-0.054334532,0.15724408622600544,0.07706214,0,1,0,1,1,0,0,0,0
0.085665468,-0.097997482,0.040575037,0,1,0,1,1,0,0,0,1
0.075665468,-0.037286452,-0.117535742,0,1,0,1,1,0,0,0,1
0.005665468,-0.152692103,-0.105373374,0,1,0,1,1,0,0,0,1
-0.174334532,-0.225618266,0.064899772,0,1,0,1,1,0,0,0,0
0.19566546762589931,0.11470382490725739,0.10138687525397222,0,1,0,1,1,0,0,0,1
0.005665468,0.23017024848671647,-0.093211007,0,1,0,1,1,0,0,0,1
0.19566546762589931,0.13232764745359588,0.2594976542163645,0,1,0,1,1,0,0,1,0
-0.004334532,-0.097997482,0.004087934,0,1,0,1,1,0,0,0,1
-0.064334532,-0.03722568,-0.214834683,0,1,0,0,1,0,0,0,1
-0.094334532,-0.097997482,-0.141860477,0,1,0,0,1,0,0,0,0
-0.034334532,-0.187210487,-0.117535742,0,1,0,0,1,0,0,0,0
-0.224334532,-0.014740113,-0.166185212,0,1,0,0,1,0,0,0,0
-0.004334532,-0.098058253,-0.214834683,0,1,0,0,1,0,0,0,1
