,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,ANX_i_c,~,olderi,-0.007130880827978013,0.02798229444524276,-0.2548354582458298,0.7988501874504415
1,ANX_i_c,~,female,-0.0472942810102498,0.02628478875286241,-1.7993023057223603,0.07197087356926479
2,ANX_i_c,~,Juvenaile,-0.12824541393906683,0.030351059724116593,-4.225401521415054,2.385151144612685e-05
3,ANX_i_c,~,inactive,0.019600637158869647,0.026284788752863022,0.7457026701798767,0.45584704582584323
4,ANX_i_c,~,HFD,0.07107569949371434,0.026585196092410286,2.6735066855998095,0.007506277998059474
5,ANX_i_c,~,FD,-0.24166175739580825,0.02929809948903431,-8.24837657056933,2.220446049250313e-16
6,ANX_i_c,~,female_x_olderi,0.10616920314403731,0.041281904374640965,2.5718097251028014,0.010116847690909703
7,ANX_i_c,~,female_x_Juvenaile,0.12128225865593295,0.045526589586175906,2.6639873479584373,0.0077220466964442736
8,ANX_i_c,~,PSS,0.12121515374840765,0.02987306040653567,4.057674442951629,4.956379369880359e-05
9,ANX_i_c,~,PSS_x_olderi,0.017110944661137266,0.03834219042200184,0.44626935687201247,0.6554026884296871
10,ANX_i_c,~,PSS_x_female,-0.050267994945877754,0.036731700142998015,-1.368518057939433,0.17114997352506633
11,ANX_i_c,~,PSS_x_Juvenaile,0.14551461721642273,0.042878879380272905,3.3936198733769936,0.0006897536311234465
12,ANX_i_c,~,PSS_x_inactive,0.02915208661685397,0.03673170014299819,0.7936492594290467,0.4273996470328316
13,ANX_i_c,~,PSS_x_HFD,-0.05713964868432895,0.03644294659027762,-1.5679206548573914,0.11689965077159958
14,ANX_i_c,~,PSS_x_FD,0.1800223542693255,0.039312763800147525,4.579234245140269,4.666813218534571e-06
15,ANX_i_c,~,PSS_x_female_x_Juvenaile,-0.12860861680010321,0.06413094630929853,-2.0054065034036537,0.04491960702527553
16,ANX_i_c,~,PSS_x_female_x_olderi,0.0191260301634654,0.05730366594543715,0.33376625818918587,0.7385559467905813
17,STR_c,~,olderi,-0.08991398257733439,0.029889230561866202,-3.0082401214115486,0.0026276543057266455
18,STR_c,~,female,0.01916902216229027,0.028076043329528247,0.6827536892083008,0.49476249759257307
19,STR_c,~,Juvenaile,-0.0008545351035736002,0.032419422348167026,-0.026358739349825473,0.9789712039342335
20,STR_c,~,inactive,-0.08863740764845936,0.028076043329528958,-3.1570476867044146,0.0015937528032865522
21,STR_c,~,HFD,0.10943556172845872,0.028396922814653943,3.8537824129356664,0.00011630696570752441
22,STR_c,~,FD,-0.09614803075290246,0.031294705027347006,-3.072341812003365,0.0021238636982734427
23,STR_c,~,female_x_olderi,0.25730023305572575,0.04409518169787991,5.835109940419218,5.375511147320822e-09
24,STR_c,~,female_x_Juvenaile,0.14432714814863526,0.048629133522251636,2.967915274073851,0.002998269640264395
25,STR_c,~,PSS,0.05167212290212192,0.03190884835504634,1.6193665884005706,0.10536841124065299
26,STR_c,~,PSS_x_olderi,0.01871964612603595,0.04095513225381788,0.45707693017726264,0.6476157514817111
27,STR_c,~,PSS_x_female,-0.11037196571295173,0.03923489035725066,-2.813107535286937,0.004906523974731458
28,STR_c,~,PSS_x_Juvenaile,-0.03881066360392938,0.04580098728284651,-0.8473761354401516,0.39678550191849005
29,STR_c,~,PSS_x_inactive,0.15781214189903933,0.039234890357250925,4.022239910907566,5.764729523560774e-05
30,STR_c,~,PSS_x_HFD,-0.09525896888523527,0.038926458840682035,-2.4471521869652575,0.01439900254836246
31,STR_c,~,PSS_x_FD,0.0845852926363932,0.041991848221958984,2.0143264994501076,0.04397526555302633
32,STR_c,~,PSS_x_female_x_Juvenaile,0.013998863411943362,0.06850133909284079,0.2043589745415948,0.8380729871971444
33,STR_c,~,PSS_x_female_x_olderi,-0.043781998258626546,0.06120879354032083,-0.7152893518325958,0.47443026684565215
34,FREAZING_c,~,olderi,0.08205519898179664,0.034443548926039395,2.3823096497870004,0.01720442394586219
35,FREAZING_c,~,female,0.015892194082461328,0.032354080512999026,0.49119597373768864,0.6232878463591993
36,FREAZING_c,~,Juvenaile,-0.04067507483901365,0.037359274187127325,-1.0887544183591253,0.276262197180857
37,FREAZING_c,~,inactive,-0.0013158477695221586,0.03235408051299976,-0.040670226092587775,0.9675587980846283
38,FREAZING_c,~,HFD,0.01847084452181772,0.032723853439150775,0.5644458882447745,0.5724507166206458
39,FREAZING_c,~,FD,0.012575501905576544,0.03606318006428122,0.3487075150558684,0.7273089018052616
40,FREAZING_c,~,female_x_olderi,-0.07521617006882497,0.05081410660839365,-1.480222227402504,0.13881395045684686
41,FREAZING_c,~,female_x_Juvenaile,0.10557810207458761,0.0560389112806923,1.884014154805316,0.059563060844774585
42,FREAZING_c,~,PSS,0.034236948966505955,0.03677090238959923,0.9310880816256198,0.35180800321289474
43,FREAZING_c,~,PSS_x_olderi,-0.03664432815551927,0.04719559771326258,-0.7764353018130185,0.43749200764546314
44,FREAZING_c,~,PSS_x_female,-0.03227418767011059,0.04521323701627531,-0.7138216548790589,0.47533746742599714
45,FREAZING_c,~,PSS_x_Juvenaile,0.1896252912350854,0.052779831286467654,3.592760465684003,0.00032719333409581
46,FREAZING_c,~,PSS_x_inactive,0.10088725628436242,0.045213237016275526,2.2313654792249094,0.025656929564610964
47,FREAZING_c,~,PSS_x_HFD,0.020541335514846146,0.044857808795756904,0.4579210635970972,0.6470091533469888
48,FREAZING_c,~,PSS_x_FD,-0.14904374116016914,0.04839028143378073,-3.080034600770958,0.0020697654817065647
49,FREAZING_c,~,PSS_x_female_x_Juvenaile,-0.10605747003234134,0.07893910884255835,-1.3435351828271356,0.17909874159793038
50,FREAZING_c,~,PSS_x_female_x_olderi,0.10084982451799157,0.07053537462753119,1.4297765489884893,0.15278116179426826
51,EBR,~,ANX_i_c,0.42819268049853604,0.0892607926741079,4.797096997077708,1.6098165849243173e-06
52,EBR,~,STR_c,0.7743071930599431,0.07717357574673353,10.033320155995018,0.0
53,EBR,~,FREAZING_c,0.9273208767622018,0.07634629068614696,12.146246640353386,0.0
54,PBR,~,ANX_i_c,0.43327115077726286,0.1568382346822232,2.762535243095346,0.005735436944171779
55,PBR,~,STR_c,-0.5898546745586286,0.1356000436655711,-4.3499593260384986,1.3616278575989682e-05
56,PBR,~,FREAZING_c,-0.9406887826446472,0.13414643873339116,-7.012402204036166,2.3425705819590803e-12
57,ANX_i_c,~~,STR_c,0.004288739870505733,0.0006518303934832766,6.5795334289459335,4.719269419695138e-11
58,ANX_i_c,~~,FREAZING_c,0.008587838271226994,0.0008080493804171006,10.627863183517626,0.0
59,ANX_i_c,~~,ANX_i_c,0.013817802395653094,0.0008287367153254868,16.673331980414083,0.0
60,STR_c,~~,FREAZING_c,0.004682683158702376,0.0007956550881113111,5.885317925801986,3.9728953460382854e-09
61,STR_c,~~,STR_c,0.015765284180832225,0.0009455389108984451,16.67333198289938,0.0
62,FREAZING_c,~~,FREAZING_c,0.020935730516834002,0.0012556416747513135,16.67333198725433,0.0
63,EBR,~~,EBR,0.06393107651083971,0.0038343311648083153,16.673331996184633,0.0
64,PBR,~~,PBR,0.19737603923692476,0.011837828169595279,16.67333199912459,0.0
