Group,EBR_mean,EBR_sd,EBR_CI_low,EBR_CI_hi,PBR_mean,PBR_sd,PBR_CI_low,PBR_CI_hi,MBR_mean,MBR_sd,MBR_CI_low,MBR_CI_hi
Olderi Male,0.14845178,0.11201502,0.013967259111814201,0.4180515825748442,-0.13315259,0.14803754,-0.44622176289558413,0.152623675763607,-0.015299182,0.09869646,-0.24586095735430716,0.15812841653823853
Juvenaile Male,0.28331634,0.17621285,0.02867310317233205,0.6727111473679541,-0.2886279,0.2061422,-0.6645453453063965,0.13885700181126592,0.005311527,0.20773643,-0.39241858571767807,0.42342433035373683
Olderi Female,0.27349615,0.16886058,0.037950833793729544,0.6373045727610587,-0.2638534,0.18421069,-0.6348912298679352,0.07934372127056115,-0.009642767,0.1018424,-0.23700857795774935,0.1706937849521637
Juvenaile Female,0.1507813,0.16179273,-0.09802169129252433,0.50373997092247,-0.10316705,0.19471958,-0.48830411210656166,0.24403534308075894,-0.047614243,0.13938427,-0.3205353915691376,0.26370091736316675
Young Female,0.07908048,0.06967639,0.0031675738049671055,0.2593646228313446,0.08432854,0.19139457,-0.28988489508628845,0.44474400654435153,-0.163409,0.1802461,-0.48999544605612755,0.20253899581730353
Sleep-time Event,0.306466,0.106983654,0.10629093106836081,0.5079748943448066,0.09684113,0.15632655,-0.1965748853981495,0.4237428873777388,-0.40330717,0.11742124,-0.6398671567440033,-0.1995021283626557
Obese,0.15971377,0.15396275,-0.06795401982963085,0.4928963527083397,-0.18874186,0.15130624,-0.5121325314044952,0.04440111368894566,0.029028082,0.028232476,0.0019280527136288585,0.10914466865360734
FD,0.11600081,0.086332984,0.009822503780014813,0.337774359434843,0.060206838,0.17080833,-0.26923218220472334,0.4082188509404658,-0.17620765,0.15066889,-0.4955764919519424,0.11347655877470965
Female,0.07908048,0.06967639,0.0031675738049671055,0.2593646228313446,0.08432854,0.19139457,-0.28988489508628845,0.44474400654435153,-0.163409,0.1802461,-0.48999544605612755,0.20253899581730353
